JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458016.80638,16.039,0.056,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.43,Z,18.020,19.208,,AA TAU,AAVSO,STD,,,,
2458017.81843,15.970,0.027,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.34,Z,17.500,18.650,,AA TAU,AAVSO,STD,,,,
2458018.81615,15.944,0.024,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.32,Z,17.467,18.640,,AA TAU,AAVSO,STD,,,,
2458019.81528,15.899,0.033,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.31,Z,17.469,18.630,,AA TAU,AAVSO,STD,,,,
2458020.83443,15.983,0.031,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.21,Z,17.578,18.729,,AA TAU,AAVSO,STD,,,,
2458021.81983,15.998,0.028,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.26,Z,17.488,18.633,,AA TAU,AAVSO,STD,,,,
2458021.85858,17.374,0.079,,B,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 14.059  K = 15.280,0,1.11,Z,18.432,19.515,,AA TAU,AAVSO,STD,,,,
2458021.86173,16.045,0.028,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.11,Z,17.570,18.713,,AA TAU,AAVSO,STD,,,,
2458021.86332,13.595,0.013,,I,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 11.506  K = 12.574,0,1.10,Z,17.580,18.702,,AA TAU,AAVSO,STD,,,,
2458022.83278,15.755,0.019,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.19,Z,17.406,18.565,,AA TAU,AAVSO,STD,,,,
2458023.82090,15.797,0.047,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.23,Z,18.033,19.202,,AA TAU,AAVSO,STD,,,,
2458029.94265,15.708,0.037,,V,WRCA,,ENSEMBLE,122,13598BNA,,0,1.012,Z,,12.249,,AA TAU,AAVSO,STD,,,,
2458032.81786,15.913,0.070,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.15,Z,17.477,18.640,,AA TAU,AAVSO,STD,,,,
2458033.81357,15.952,0.058,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.15,Z,17.338,18.509,,AA TAU,AAVSO,STD,,,,
2458040.76060,16.158,0.036,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.30,Z,17.662,18.814,,AA TAU,AAVSO,STD,,,,
2458041.80865,17.580,0.092,,B,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 14.059  K = 15.280,0,1.10,Z,18.318,19.461,,AA TAU,AAVSO,STD,,,,
2458041.81178,16.285,0.035,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.09,Z,17.537,18.707,,AA TAU,AAVSO,STD,,,,
